id,apellido,nombre,segundo_nombre,telefono_primario,genero,direccion_1,direccion_2,ciudad,provincia,telefono_tipo,email,estado_cliente,peliculas_rentadas
1,Astin,Shavez,,22503745,M,,,,,Hogar,petersko@outlook.com,false,false
2,Walker,Aubrey,,22508589,F,,,,,Oficina,openldap@outlook.com,false,false
3,Demo 5,Demo 5,Demo Segundo Nombre 5,22225050,M,Demo 5 Address,Demo 5 Address 2,,,Celular,ema@il,true,false
4,DUCATI,Gs,,12345678,M,,,,,Celular,roger@ducati.com,true,false
5,Demo 5,Demo 5,Demo Segundo Nombre 5,22225050,M,Demo 5 Address,Demo 5 Address 2,,,Celular,ema@il,true,false
6,Ulate,Roger,Jose,85482428,M,Calle Fallas. Desamparados,Desamparados,Desamparados,San Jose,Celular,roger@roger.net,true,false
7,Rivera,Priscilla,,12345678,O,Calle Fallas. Desamparados,,Desamparados,San Jose,Hogar,pris@pris.net,true,false
8,Carioca,Calleb,J.,85482428,M,Caellasd as,Aser SUite #302,Nandayure,Guanacaste,Oficina,test@test.com,true,false
9,Lopez,Karla,,85338103,O,Los Colegios,,San Jose,San Jose,Otro,karla@lopez.ac.cr,true,false
10,MUMBAI,NombTest,J,88994422,M,Direccion1,,Sna Jose,San Jose,Otro,test@test.ed.cr,true,false
